"main_id","ra","dec","rvz_redshift","radial_velocity","rv_norm","ang_dist"
"sBoRG 1917-3335   929",289.3521,-33.5924,8.11,2431316.83438,-0.558140858893963,0.350475752667027
"[BBZ2014] J193145.22-263424.6",292.938416666667,-26.5735,8,2398339.664,-0.665402962019013,0.410836221375228
"CLASH MACSJ1931.8-2634  777",292.939333333333,-26.5704444444444,8.2,2458298.1556,-0.470380956337105,0.410861385119776
"[MMD2016] M1931-9-1",292.953458333333,-26.5581472222222,8.7,2608194.3846,0.0171740578676675,0.411122007713116
"sBoRG 1515-1517   698",228.7442,-15.2704,7.66,2296410.22828,-0.996940371678259,0.650962557743338
"sBoRG 2055-3408  1026",313.6711,-34.1323,7.66,2296410.22828,-0.996940371678259,0.70216589173746
"sBoRG 2008-6610  1020",302.0242,-66.1658,8.11,2431316.83438,-0.558140858893963,0.751161826260365
"sBoRG 1558+0812   368",239.5731,8.1985,7.66,2296410.22828,-0.996940371678259,0.790927967485554
"sBoRG 1558+0812   601",239.5695,8.2083,7.66,2296410.22828,-0.996940371678259,0.791104742430124
"[RER2016] SMACSJ2131-0567",322.775583333333,-40.3063888888889,7.5,2248443.435,-1.15295797622379,0.818712238193675
"BoRG 1555+1108 1417",238.8651549,11.1393576,8,2398339.664,-0.665402962019013,0.840514261062469
"BoRG 1555+1108  595",238.8429322,11.1279017,8,2398339.664,-0.665402962019013,0.840553101347441
"BoRG 1555+1108 1166",238.8438689,11.1420588,8,2398339.664,-0.665402962019013,0.840751822412196
"sBoRG 1607+1332   996",241.7016,13.5468,8.76,2626181.93208,0.0756806595722409,0.851639943792178
"GRB 120923A",303.794708333333,6.22136111111111,8.5,2548235.893,-0.177847947814241,0.878484345732852
"BoRG 2155-4411 1192",328.8031162,-44.1737506,8,2398339.664,-0.665402962019013,0.89097455852619
"BoRG 2155-4411  341",328.8301017,-44.1819169,8,2398339.664,-0.665402962019013,0.891299155967564
"sBoRG 1442-0212   245",220.5278,-2.2053,10.45,3132831.1861,1.72361660758437,0.893173768811928
"sBoRG 1525+1000   719",231.1971,9.997,9.47,2839034.57726,0.76800877974302,0.902775346173049
"BoRG 1510+1115   51",227.5348783,11.2225448,8,2398339.664,-0.665402962019013,0.96015412325114
"[BIO2015] BORGY-0106614403",227.544416666667,11.2445277777778,7.93,2377354.19194,-0.733660664007682,0.960329568742441
"BoRG 1510+1115 1236",227.5521577,11.2522441,8,2398339.664,-0.665402962019013,0.960340817665008
"BoRG 1510+1115 1524",227.538125,11.2554722222222,7.58,2272426.83164,-1.07494917395102,0.960543541430095
"BoRG 1510+1115 1404",227.542595,11.2615405555556,8,2398339.664,-0.665402962019013,0.960570936251034
"BoRG 1510+1115 1487",227.531708333333,11.2525,7.49,2245445.51042,-1.16270907650788,0.960578603848227
"[BWC2021] J220209.61-281951.0",330.540041666667,-28.3308333333333,7.5,2248443.435,-1.15295797622379,0.96903067140036
"[LFR2003]   113",338.17875,-60.5668788888889,8.92,2674148.72536,0.231698264117769,0.980219771413635
"[LFR2003]   183",338.179958333333,-60.5644166666667,9.14,2740103.06612,0.44622247036787,0.980230132116904
"[LFR2003]   166",338.181083333333,-60.5643611111111,9.08,2722115.51864,0.387715868663296,0.98023978157962
"[LFR2003]   202",338.181541666667,-60.5634722222222,8.96,2686140.42368,0.270702665254151,0.980243712546187
"[LFR2003]   134",338.182273,-60.5672013,7.96,2386347.96568,-0.704407363155395,0.980249987298207
"[LFR2003]   246",338.183,-60.5615277777778,8.7,2608194.3846,0.0171740578676675,0.980256222139692
