"metadata.name","metadata.description","metadata.datatype","metadata.arraysize","metadata.ucd","metadata.unit","data.1","data.2","data.3","data.4"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"H-ATLAS J143740.9+021731","219.420532","2.29216","33.79"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","H-ATLAS J144011.1-001719","220.04628","-0.288708","24.53"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","H-ATLAS J131136.9+225454","197.903927","22.915015","23.93"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"JADES-GS NC  190413","53.08404","-27.839348","17.77"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"H-ATLAS J144056.3-001906","220.234844","-0.318378","16.43"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","[HOO2023] S5-z16-1","339.015875","33.9046388888889","16.41"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","JADES-GS NC  122931","53.20055","-27.784925","16.07"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"[ASF2023] SMACS z16a","110.859970833333","-73.4679336111111","15.92"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"JADES-GS NC   39005","53.080165","-27.871306","15.83"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","[YML2023] F200DA-089","110.635125","-73.4685555555556","15.73"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","JADES-GS NC  237934","53.055599","-27.725428","15.67"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"[AAC2023] NGD-z15a","53.24945","-27.87572","15.46"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"[ASF2023] SMACS z16b","110.664329166667","-73.5022736111111","15.32"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","JADES-GS+053.10762-27.86013","53.10762","-27.86013","14.63"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","[HIM2022] HD3","34.227","-5.16030555555556","14.6"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"JADES-GS NC  283711","53.082649","-27.864812","14.56"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"JADES-GS+053.12540-27.83997","53.125402","-27.839967","14.45"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","[FLB2024] CEERS-90891","214.945818","52.829729","14.44"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","JADES-GS+053.07557-27.87268","53.07557","-27.87268","14.38"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"[FLB2024] CEERS-64602","215.074304","52.951154","14.32"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"JADES-GS+053.08294-27.85563","53.082937","-27.855632","14.32"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","[FLB2024] CEERS-57438","214.871989","52.845014","13.99"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","JADES-GS NC   18044","53.0742683","-27.8859211","13.9"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"JADES-GS+053.02868-27.89301","53.02868","-27.89301","13.52"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"JADES-GS NC   40983","53.04605","-27.869633","13.49"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","JADES-GS+053.14988-27.77650","53.14988","-27.7765","13.2"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","UNCOVER DR2 14019","3.570823","-30.401794","13.079"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"JADES-GS NC   54586","53.073476","-27.860728","13.06"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"GOODS J033215.46-275324.3","53.064402","-27.890072","12.93"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","JADES-GS+053.08468-27.86666","53.08468","-27.86666","12.9"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","[YML2023] F150DA-018","110.733416666667","-73.4894166666667","12.84"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"[CCG2019] NGP4.09","198.54955","26.52377","12.76"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"[CCG2019] NGP7.13","204.2476","32.18563","12.74"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","[FLB2024] CEERS-77647","215.05422","52.923839","12.7"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","[ADF2023] CEERS MSA     0","215.010022","53.013641","12.7"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"JADES-GS+053.16634-27.82156","53.166338","-27.821555","12.63"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"[HOO2023] S5-z12-1","339.028","34.0026944444444","12.58"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","JADES-GS+053.12166-27.83012","53.1216666666667","-27.8301277777778","12.56"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","[ACW2023] 70846","3.498983","-30.324758","12.5"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"[CCG2019] NGP4.05","198.59798","26.50267","12.47"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"[HOO2023] SM-z12-1","110.635333333333","-73.4758972222222","12.47"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","UNCOVER DR2 39753","3.513568","-30.356804","12.393"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","[YML2023] F150DB-048","110.756541666667","-73.455","12.39"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"JADES-GS NC  160071","53.0356636","-27.8999043","12.38"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"[CFT2022] GHZ2","3.499","-30.3247416666667","12.3327"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","[DMD2023] SMACS-1566","110.663166666667","-73.5002305555556","12.29"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","[FLB2024] CEERS-36796","214.727248","52.748045","12.28"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"[ASF2023] SMACS z12b","110.717754166667","-73.4654158333333","12.26"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"[ACW2023] 46075","3.546722","-30.352425","12.23"
